harness,method,scenario,seed_idx,instance_seed,optimizer_stream
tier1,random,uniform_N250_K10,16,2969715714,"SeedSequence([9876, 1, 4, 0, 16])"
tier1,random,uniform_N250_K10,17,516405647,"SeedSequence([9876, 1, 4, 0, 17])"
tier1,random,uniform_N250_K10,18,2228315801,"SeedSequence([9876, 1, 4, 0, 18])"
tier1,random,uniform_N250_K10,19,2566146087,"SeedSequence([9876, 1, 4, 0, 19])"
tier1,random,uniform_N250_K10,20,1403279175,"SeedSequence([9876, 1, 4, 0, 20])"
tier1,random,uniform_N250_K10,21,1111838085,"SeedSequence([9876, 1, 4, 0, 21])"
tier1,random,uniform_N250_K10,22,191492603,"SeedSequence([9876, 1, 4, 0, 22])"
tier1,random,uniform_N250_K10,23,1659766462,"SeedSequence([9876, 1, 4, 0, 23])"
tier1,random,uniform_N250_K10,24,805323876,"SeedSequence([9876, 1, 4, 0, 24])"
tier1,random,uniform_N250_K10,25,3728911051,"SeedSequence([9876, 1, 4, 0, 25])"
tier1,random,uniform_N250_K10,26,1203392217,"SeedSequence([9876, 1, 4, 0, 26])"
tier1,random,uniform_N250_K10,27,44560453,"SeedSequence([9876, 1, 4, 0, 27])"
tier1,random,uniform_N250_K10,28,4082514407,"SeedSequence([9876, 1, 4, 0, 28])"
tier1,random,uniform_N250_K10,29,835010391,"SeedSequence([9876, 1, 4, 0, 29])"
tier1,mozaffari2016,uniform_N250_K10,0,2906597030,"SeedSequence([9876, 1, 5, 0, 0])"
tier1,mozaffari2016,uniform_N250_K10,1,1897199863,"SeedSequence([9876, 1, 5, 0, 1])"
tier1,mozaffari2016,uniform_N250_K10,2,2252033902,"SeedSequence([9876, 1, 5, 0, 2])"
tier1,mozaffari2016,uniform_N250_K10,3,1879402385,"SeedSequence([9876, 1, 5, 0, 3])"
tier1,mozaffari2016,uniform_N250_K10,4,846342707,"SeedSequence([9876, 1, 5, 0, 4])"
tier1,mozaffari2016,uniform_N250_K10,5,285823764,"SeedSequence([9876, 1, 5, 0, 5])"
tier1,mozaffari2016,uniform_N250_K10,6,812504490,"SeedSequence([9876, 1, 5, 0, 6])"
tier1,mozaffari2016,uniform_N250_K10,7,1849366408,"SeedSequence([9876, 1, 5, 0, 7])"
tier1,mozaffari2016,uniform_N250_K10,8,3052122565,"SeedSequence([9876, 1, 5, 0, 8])"
tier1,mozaffari2016,uniform_N250_K10,9,2467340011,"SeedSequence([9876, 1, 5, 0, 9])"
tier1,mozaffari2016,uniform_N250_K10,10,4197919794,"SeedSequence([9876, 1, 5, 0, 10])"
tier1,mozaffari2016,uniform_N250_K10,11,2834588526,"SeedSequence([9876, 1, 5, 0, 11])"
tier1,mozaffari2016,uniform_N250_K10,12,2063422320,"SeedSequence([9876, 1, 5, 0, 12])"
tier1,mozaffari2016,uniform_N250_K10,13,2937595121,"SeedSequence([9876, 1, 5, 0, 13])"
tier1,mozaffari2016,uniform_N250_K10,14,2470441522,"SeedSequence([9876, 1, 5, 0, 14])"
tier1,mozaffari2016,uniform_N250_K10,15,2753188299,"SeedSequence([9876, 1, 5, 0, 15])"
tier1,mozaffari2016,uniform_N250_K10,16,2969715714,"SeedSequence([9876, 1, 5, 0, 16])"
tier1,mozaffari2016,uniform_N250_K10,17,516405647,"SeedSequence([9876, 1, 5, 0, 17])"
tier1,mozaffari2016,uniform_N250_K10,18,2228315801,"SeedSequence([9876, 1, 5, 0, 18])"
tier1,mozaffari2016,uniform_N250_K10,19,2566146087,"SeedSequence([9876, 1, 5, 0, 19])"
tier1,mozaffari2016,uniform_N250_K10,20,1403279175,"SeedSequence([9876, 1, 5, 0, 20])"
tier1,mozaffari2016,uniform_N250_K10,21,1111838085,"SeedSequence([9876, 1, 5, 0, 21])"
tier1,mozaffari2016,uniform_N250_K10,22,191492603,"SeedSequence([9876, 1, 5, 0, 22])"
tier1,mozaffari2016,uniform_N250_K10,23,1659766462,"SeedSequence([9876, 1, 5, 0, 23])"
tier1,mozaffari2016,uniform_N250_K10,24,805323876,"SeedSequence([9876, 1, 5, 0, 24])"
tier1,mozaffari2016,uniform_N250_K10,25,3728911051,"SeedSequence([9876, 1, 5, 0, 25])"
tier1,mozaffari2016,uniform_N250_K10,26,1203392217,"SeedSequence([9876, 1, 5, 0, 26])"
tier1,mozaffari2016,uniform_N250_K10,27,44560453,"SeedSequence([9876, 1, 5, 0, 27])"
tier1,mozaffari2016,uniform_N250_K10,28,4082514407,"SeedSequence([9876, 1, 5, 0, 28])"
tier1,mozaffari2016,uniform_N250_K10,29,835010391,"SeedSequence([9876, 1, 5, 0, 29])"
tier1,alzenad2017,uniform_N250_K10,0,2906597030,"SeedSequence([9876, 1, 6, 0, 0])"
tier1,alzenad2017,uniform_N250_K10,1,1897199863,"SeedSequence([9876, 1, 6, 0, 1])"
tier1,alzenad2017,uniform_N250_K10,2,2252033902,"SeedSequence([9876, 1, 6, 0, 2])"
tier1,alzenad2017,uniform_N250_K10,3,1879402385,"SeedSequence([9876, 1, 6, 0, 3])"
tier1,alzenad2017,uniform_N250_K10,4,846342707,"SeedSequence([9876, 1, 6, 0, 4])"
tier1,alzenad2017,uniform_N250_K10,5,285823764,"SeedSequence([9876, 1, 6, 0, 5])"
tier1,alzenad2017,uniform_N250_K10,6,812504490,"SeedSequence([9876, 1, 6, 0, 6])"
tier1,alzenad2017,uniform_N250_K10,7,1849366408,"SeedSequence([9876, 1, 6, 0, 7])"
tier1,alzenad2017,uniform_N250_K10,8,3052122565,"SeedSequence([9876, 1, 6, 0, 8])"
tier1,alzenad2017,uniform_N250_K10,9,2467340011,"SeedSequence([9876, 1, 6, 0, 9])"
tier1,alzenad2017,uniform_N250_K10,10,4197919794,"SeedSequence([9876, 1, 6, 0, 10])"
tier1,alzenad2017,uniform_N250_K10,11,2834588526,"SeedSequence([9876, 1, 6, 0, 11])"
tier1,alzenad2017,uniform_N250_K10,12,2063422320,"SeedSequence([9876, 1, 6, 0, 12])"
tier1,alzenad2017,uniform_N250_K10,13,2937595121,"SeedSequence([9876, 1, 6, 0, 13])"
tier1,alzenad2017,uniform_N250_K10,14,2470441522,"SeedSequence([9876, 1, 6, 0, 14])"
tier1,alzenad2017,uniform_N250_K10,15,2753188299,"SeedSequence([9876, 1, 6, 0, 15])"
tier1,alzenad2017,uniform_N250_K10,16,2969715714,"SeedSequence([9876, 1, 6, 0, 16])"
tier1,alzenad2017,uniform_N250_K10,17,516405647,"SeedSequence([9876, 1, 6, 0, 17])"
tier1,alzenad2017,uniform_N250_K10,18,2228315801,"SeedSequence([9876, 1, 6, 0, 18])"
tier1,alzenad2017,uniform_N250_K10,19,2566146087,"SeedSequence([9876, 1, 6, 0, 19])"
tier1,alzenad2017,uniform_N250_K10,20,1403279175,"SeedSequence([9876, 1, 6, 0, 20])"
tier1,alzenad2017,uniform_N250_K10,21,1111838085,"SeedSequence([9876, 1, 6, 0, 21])"
tier1,alzenad2017,uniform_N250_K10,22,191492603,"SeedSequence([9876, 1, 6, 0, 22])"
tier1,alzenad2017,uniform_N250_K10,23,1659766462,"SeedSequence([9876, 1, 6, 0, 23])"
tier1,alzenad2017,uniform_N250_K10,24,805323876,"SeedSequence([9876, 1, 6, 0, 24])"
tier1,alzenad2017,uniform_N250_K10,25,3728911051,"SeedSequence([9876, 1, 6, 0, 25])"
tier1,alzenad2017,uniform_N250_K10,26,1203392217,"SeedSequence([9876, 1, 6, 0, 26])"
tier1,alzenad2017,uniform_N250_K10,27,44560453,"SeedSequence([9876, 1, 6, 0, 27])"
tier1,alzenad2017,uniform_N250_K10,28,4082514407,"SeedSequence([9876, 1, 6, 0, 28])"
tier1,alzenad2017,uniform_N250_K10,29,835010391,"SeedSequence([9876, 1, 6, 0, 29])"
tier1,pso,clustered_N250_K10,0,2637323298,"SeedSequence([9876, 1, 0, 1, 0])"
tier1,pso,clustered_N250_K10,1,1208750388,"SeedSequence([9876, 1, 0, 1, 1])"
tier1,pso,clustered_N250_K10,2,1141156122,"SeedSequence([9876, 1, 0, 1, 2])"
tier1,pso,clustered_N250_K10,3,1393887440,"SeedSequence([9876, 1, 0, 1, 3])"
tier1,pso,clustered_N250_K10,4,930859927,"SeedSequence([9876, 1, 0, 1, 4])"
tier1,pso,clustered_N250_K10,5,1952841125,"SeedSequence([9876, 1, 0, 1, 5])"
tier1,pso,clustered_N250_K10,6,1943907348,"SeedSequence([9876, 1, 0, 1, 6])"
tier1,pso,clustered_N250_K10,7,3664541198,"SeedSequence([9876, 1, 0, 1, 7])"
tier1,pso,clustered_N250_K10,8,435691733,"SeedSequence([9876, 1, 0, 1, 8])"
tier1,pso,clustered_N250_K10,9,1428192934,"SeedSequence([9876, 1, 0, 1, 9])"
tier1,pso,clustered_N250_K10,10,2024800257,"SeedSequence([9876, 1, 0, 1, 10])"
tier1,pso,clustered_N250_K10,11,3528153481,"SeedSequence([9876, 1, 0, 1, 11])"
tier1,pso,clustered_N250_K10,12,4109153156,"SeedSequence([9876, 1, 0, 1, 12])"
tier1,pso,clustered_N250_K10,13,708222467,"SeedSequence([9876, 1, 0, 1, 13])"
tier1,pso,clustered_N250_K10,14,1047598591,"SeedSequence([9876, 1, 0, 1, 14])"
tier1,pso,clustered_N250_K10,15,2943773691,"SeedSequence([9876, 1, 0, 1, 15])"
tier1,pso,clustered_N250_K10,16,17445003,"SeedSequence([9876, 1, 0, 1, 16])"
tier1,pso,clustered_N250_K10,17,3617190185,"SeedSequence([9876, 1, 0, 1, 17])"
tier1,pso,clustered_N250_K10,18,2821721054,"SeedSequence([9876, 1, 0, 1, 18])"
tier1,pso,clustered_N250_K10,19,1878758982,"SeedSequence([9876, 1, 0, 1, 19])"
tier1,pso,clustered_N250_K10,20,3682743748,"SeedSequence([9876, 1, 0, 1, 20])"
tier1,pso,clustered_N250_K10,21,1772291818,"SeedSequence([9876, 1, 0, 1, 21])"
tier1,pso,clustered_N250_K10,22,3085228740,"SeedSequence([9876, 1, 0, 1, 22])"
tier1,pso,clustered_N250_K10,23,2541097128,"SeedSequence([9876, 1, 0, 1, 23])"
tier1,pso,clustered_N250_K10,24,3251617958,"SeedSequence([9876, 1, 0, 1, 24])"
tier1,pso,clustered_N250_K10,25,2811616872,"SeedSequence([9876, 1, 0, 1, 25])"
tier1,pso,clustered_N250_K10,26,1489023596,"SeedSequence([9876, 1, 0, 1, 26])"
tier1,pso,clustered_N250_K10,27,382986382,"SeedSequence([9876, 1, 0, 1, 27])"
tier1,pso,clustered_N250_K10,28,3192228886,"SeedSequence([9876, 1, 0, 1, 28])"
tier1,pso,clustered_N250_K10,29,913074028,"SeedSequence([9876, 1, 0, 1, 29])"
tier1,ga,clustered_N250_K10,0,2637323298,"SeedSequence([9876, 1, 1, 1, 0])"
tier1,ga,clustered_N250_K10,1,1208750388,"SeedSequence([9876, 1, 1, 1, 1])"
tier1,ga,clustered_N250_K10,2,1141156122,"SeedSequence([9876, 1, 1, 1, 2])"
tier1,ga,clustered_N250_K10,3,1393887440,"SeedSequence([9876, 1, 1, 1, 3])"
tier1,ga,clustered_N250_K10,4,930859927,"SeedSequence([9876, 1, 1, 1, 4])"
tier1,ga,clustered_N250_K10,5,1952841125,"SeedSequence([9876, 1, 1, 1, 5])"
tier1,ga,clustered_N250_K10,6,1943907348,"SeedSequence([9876, 1, 1, 1, 6])"
tier1,ga,clustered_N250_K10,7,3664541198,"SeedSequence([9876, 1, 1, 1, 7])"
tier1,ga,clustered_N250_K10,8,435691733,"SeedSequence([9876, 1, 1, 1, 8])"
tier1,ga,clustered_N250_K10,9,1428192934,"SeedSequence([9876, 1, 1, 1, 9])"
tier1,ga,clustered_N250_K10,10,2024800257,"SeedSequence([9876, 1, 1, 1, 10])"
tier1,ga,clustered_N250_K10,11,3528153481,"SeedSequence([9876, 1, 1, 1, 11])"
tier1,ga,clustered_N250_K10,12,4109153156,"SeedSequence([9876, 1, 1, 1, 12])"
tier1,ga,clustered_N250_K10,13,708222467,"SeedSequence([9876, 1, 1, 1, 13])"
tier1,ga,clustered_N250_K10,14,1047598591,"SeedSequence([9876, 1, 1, 1, 14])"
tier1,ga,clustered_N250_K10,15,2943773691,"SeedSequence([9876, 1, 1, 1, 15])"
tier1,ga,clustered_N250_K10,16,17445003,"SeedSequence([9876, 1, 1, 1, 16])"
tier1,ga,clustered_N250_K10,17,3617190185,"SeedSequence([9876, 1, 1, 1, 17])"
tier1,ga,clustered_N250_K10,18,2821721054,"SeedSequence([9876, 1, 1, 1, 18])"
tier1,ga,clustered_N250_K10,19,1878758982,"SeedSequence([9876, 1, 1, 1, 19])"
tier1,ga,clustered_N250_K10,20,3682743748,"SeedSequence([9876, 1, 1, 1, 20])"
tier1,ga,clustered_N250_K10,21,1772291818,"SeedSequence([9876, 1, 1, 1, 21])"
tier1,ga,clustered_N250_K10,22,3085228740,"SeedSequence([9876, 1, 1, 1, 22])"
tier1,ga,clustered_N250_K10,23,2541097128,"SeedSequence([9876, 1, 1, 1, 23])"
tier1,ga,clustered_N250_K10,24,3251617958,"SeedSequence([9876, 1, 1, 1, 24])"
tier1,ga,clustered_N250_K10,25,2811616872,"SeedSequence([9876, 1, 1, 1, 25])"
tier1,ga,clustered_N250_K10,26,1489023596,"SeedSequence([9876, 1, 1, 1, 26])"
tier1,ga,clustered_N250_K10,27,382986382,"SeedSequence([9876, 1, 1, 1, 27])"
tier1,ga,clustered_N250_K10,28,3192228886,"SeedSequence([9876, 1, 1, 1, 28])"
tier1,ga,clustered_N250_K10,29,913074028,"SeedSequence([9876, 1, 1, 1, 29])"
tier1,centroid,clustered_N250_K10,0,2637323298,"SeedSequence([9876, 1, 2, 1, 0])"
tier1,centroid,clustered_N250_K10,1,1208750388,"SeedSequence([9876, 1, 2, 1, 1])"
tier1,centroid,clustered_N250_K10,2,1141156122,"SeedSequence([9876, 1, 2, 1, 2])"
tier1,centroid,clustered_N250_K10,3,1393887440,"SeedSequence([9876, 1, 2, 1, 3])"
tier1,centroid,clustered_N250_K10,4,930859927,"SeedSequence([9876, 1, 2, 1, 4])"
tier1,centroid,clustered_N250_K10,5,1952841125,"SeedSequence([9876, 1, 2, 1, 5])"
tier1,centroid,clustered_N250_K10,6,1943907348,"SeedSequence([9876, 1, 2, 1, 6])"
tier1,centroid,clustered_N250_K10,7,3664541198,"SeedSequence([9876, 1, 2, 1, 7])"
tier1,centroid,clustered_N250_K10,8,435691733,"SeedSequence([9876, 1, 2, 1, 8])"
tier1,centroid,clustered_N250_K10,9,1428192934,"SeedSequence([9876, 1, 2, 1, 9])"
